+------+----------+------------+------------+------------+---------------------+----------------------+-------------+--------+---------+--------+-------+
| line | layer_no | layer_type |  in_size   |  out_size  | in_channel/features | out_channel/features | kernel_size | stride | padding | groups | count |
| 363  |   177    |    relu    |  (14, 14)  |  (14, 14)  |          32         |          32          |      -      |   -    |    -    |   1    |   1   |
| 364  |   178    |   conv2d   |  (14, 14)  |  (14, 14)  |         1024        |         512          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 365  |   179    | avgpool2d  |  (14, 14)  |   (7, 7)   |         512         |         512          |      2      |   2    |    0    |   1    |   1   |
| 370  |   180    |    relu    |   (7, 7)   |   (7, 7)   |         512         |         512          |      -      |   -    |    -    |   1    |   1   |
| 371  |   181    |   conv2d   |   (7, 7)   |   (7, 7)   |         512         |         128          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 373  |   182    |    relu    |   (7, 7)   |   (7, 7)   |         128         |         128          |      -      |   -    |    -    |   1    |   1   |
| 374  |   183    |   conv2d   |   (7, 7)   |   (7, 7)   |         128         |          32          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 378  |   184    |    relu    |   (7, 7)   |   (7, 7)   |          32         |          32          |      -      |   -    |    -    |   1    |   1   |
| 379  |   185    |   conv2d   |   (7, 7)   |   (7, 7)   |         544         |         128          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 381  |   186    |    relu    |   (7, 7)   |   (7, 7)   |         128         |         128          |      -      |   -    |    -    |   1    |   1   |
| 382  |   187    |   conv2d   |   (7, 7)   |   (7, 7)   |         128         |          32          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 386  |   188    |    relu    |   (7, 7)   |   (7, 7)   |          32         |          32          |      -      |   -    |    -    |   1    |   1   |
| 387  |   189    |   conv2d   |   (7, 7)   |   (7, 7)   |         576         |         128          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 389  |   190    |    relu    |   (7, 7)   |   (7, 7)   |         128         |         128          |      -      |   -    |    -    |   1    |   1   |
| 390  |   191    |   conv2d   |   (7, 7)   |   (7, 7)   |         128         |          32          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 394  |   192    |    relu    |   (7, 7)   |   (7, 7)   |          32         |          32          |      -      |   -    |    -    |   1    |   1   |
| 395  |   193    |   conv2d   |   (7, 7)   |   (7, 7)   |         608         |         128          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 397  |   194    |    relu    |   (7, 7)   |   (7, 7)   |         128         |         128          |      -      |   -    |    -    |   1    |   1   |
| 398  |   195    |   conv2d   |   (7, 7)   |   (7, 7)   |         128         |          32          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
